categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;É proibido o transporte de crianças na garupa de motos aquáticas com idade inferior a:;5 anos;6 anos;7 anos;8 anos;12 anos;7 anos
Arrais Amador;Geral;Em que condição uma criança entre 7 e 12 anos pode ser transportada em uma moto aquática?;Sem restrições;Apenas com capacete;Somente em áreas restritas;Apenas entre dois adultos;Com anuência dos responsáveis;Com anuência dos responsáveis
Arrais Amador;Geral;A visibilidade do condutor de motos aquáticas é prejudicada por:;O vento contrário;A ausência de equipamentos de iluminação;Falta de óculos protetores;A presença de outros condutores;A inclinação da embarcação e respingos d’água;A inclinação da embarcação e respingos d’água
Arrais Amador;Geral;Qual é a velocidade máxima permitida no trânsito entre a entrada e a linha de base?;2 nós;3 nós;4 nós;5 nós;6 nós;3 nós
Arrais Amador;Geral;Motos aquáticas podem se aproximar da linha de base para:;Reabastecimento;Fundeio, se permitido pela autoridade local;Troca de passageiros;Realização de manobras;Operações de salvamento;Fundeio, se permitido pela autoridade local
Arrais Amador;Geral;Onde devem ocorrer operações de embarque e desembarque?;Em qualquer local adequado;"Em áreas definidas como &quot;Corredor de Aproximação e Partida&quot;";Próximo às margens de rios;Apenas em portos;Em praias movimentadas;"Em áreas definidas como &quot;Corredor de Aproximação e Partida&quot;"
Arrais Amador;Geral;Qual a distância mínima permitida para navegação em relação a instalações militares?;100 metros;150 metros;200 metros;250 metros;500 metros;200 metros
Arrais Amador;Geral;A chave de segurança da moto aquática deve estar atada ao:;Capacete do condutor;Volante da embarcação;Casco da embarcação;Colete ou punho do condutor;Motor da embarcação;Colete ou punho do condutor
Arrais Amador;Geral;O que acontece se o condutor se separar fisicamente da moto aquática em movimento?;A moto para imediatamente;A chave de segurança desliga a propulsão automaticamente;A embarcação reduz a velocidade gradualmente;O condutor perde a habilitação automaticamente;A moto é direcionada à costa mais próxima;A chave de segurança desliga a propulsão automaticamente
Arrais Amador;Geral;É proibido o transporte de passageiros em motos aquáticas:;Na frente do condutor;Com mais de 12 anos;Apenas em áreas restritas;Quando excede o limite de velocidade;Quando não utiliza colete salva-vidas;Na frente do condutor
Arrais Amador;Geral;Qual a distância mínima para navegação de motos aquáticas em relação a banhistas?;50 metros;100 metros;150 metros;200 metros;300 metros;200 metros
Arrais Amador;Geral;Qual entidade deve homologar os coletes salva-vidas importados utilizados em motos aquáticas?;Marinha do Brasil;Autoridade Marítima do país de origem;Organização das Nações Unidas;Federação Náutica Internacional;Ministério do Transporte;Autoridade Marítima do país de origem
Arrais Amador;Geral;As áreas exclusivas para uso de motos aquáticas alugadas devem ser definidas por:;O proprietário da embarcação;O poder público com anuência da Autoridade Marítima;O condutor habilitado;O fabricante das motos aquáticas;Federações de esporte náutico;O poder público com anuência da Autoridade Marítima
Arrais Amador;Geral;As motos aquáticas estão isentas das restrições de navegação nas proximidades da linha de base quando:;Estão participando de competições esportivas;Estão sendo usadas em salvamento de vidas por órgãos competentes;Estão navegando sob supervisão militar;Estão transportando materiais médicos;O condutor é habilitado como Motonauta;Estão sendo usadas em salvamento de vidas por órgãos competentes
Arrais Amador;Geral;A capacidade máxima de passageiros em uma moto aquática deve:;Ser definida pelo condutor;Não ser excedida, conforme especificado no TIE;Ser determinada pela autoridade local;Ser baseada no peso total da embarcação;Ser definida pela velocidade alcançada;Não ser excedida, conforme especificado no TIE
Arrais Amador;Geral;Quem é responsável por evitar que motos aquáticas sejam ocupadas por terceiros indevidamente?;A autoridade local;O fabricante da embarcação;O proprietário ou condutor habilitado;A Capitania dos Portos;Os banhistas;O proprietário ou condutor habilitado
Arrais Amador;Geral;Onde deve ser definida a delimitação de áreas específicas para embarcações alugadas?;Em documentos técnicos do fabricante;Em normas internas da Marinha;Em assembleias locais;Em reuniões de federações náuticas;Por boias de demarcação, com manutenção a cargo do EAMA;Por boias de demarcação, com manutenção a cargo do EAMA
Arrais Amador;Geral;Qual é a distância mínima da área de segurança de unidades estacionárias de produção de petróleo?;100 metros;200 metros;300 metros;400 metros;500 metros;500 metros
Arrais Amador;Geral;Qual das seguintes é considerada uma unidade estacionária de produção de petróleo?;Rebocador;Barco de pesca;Plataforma fixa;Catamarã;Lancha esportiva;Plataforma fixa
Arrais Amador;Geral;O que caracteriza a invasão da área de segurança de unidades de produção?;Permanência não autorizada dentro da área de 500 metros;Navegação por helicópteros próximos à unidade;Pesca próxima à unidade;Ancoragem sem uso de sinalização;Transporte de cargas perigosas na área;Permanência não autorizada dentro da área de 500 metros
Arrais Amador;Geral;Eventos náuticos envolvendo motos aquáticas podem ocorrer:;Somente no período noturno;Apenas no nascer do sol;Durante o período diurno;A qualquer hora do dia;Apenas nos finais de semana;Durante o período diurno
Arrais Amador;Geral;A participação de menores de 18 anos em competições de motos aquáticas exige:;Supervisão de um maior de idade;Apresentação de autorização formal dos responsáveis;Habilitação como Motonauta;Presença de instrutor qualificado;Uso obrigatório de colete salva-vidas;Apresentação de autorização formal dos responsáveis
Arrais Amador;Geral;Competições envolvendo menores de 14 anos são:;Recomendadas em águas interiores;Permitidas em qualquer condição;Não recomendadas;Autorizadas sem restrições;Realizadas somente com embarcações de apoio;Não recomendadas
Arrais Amador;Geral;Qual órgão deve ser comunicado antes de competições envolvendo 10 a 30 motos aquáticas?;Polícia Federal;Capitania dos Portos (CP), Delegacia dos Portos (Del) , Agência Capitania dos Portos (Ag);Ministério do Turismo;Prefeituras locais;Autoridades ambientais;Capitania dos Portos (CP), Delegacia dos Portos (Del) , Agência Capitania dos Portos (Ag)
Arrais Amador;Geral;O uso de embarcações de apoio em eventos é obrigatório para grupos com:;Até 10 motos aquáticas;De 20 a 40 motos aquáticas;Acima de 30 motos aquáticas;Apenas em eventos costeiros;Somente em competições oficiais;Acima de 30 motos aquáticas
Arrais Amador;Geral;O plano logístico de um evento deve incluir:;Horário de trabalho dos organizadores;Pontos de remoção de feridos e equipamentos avariados;Rotas alternativas para banhistas;Tamanhos das embarcações participantes;Documentação dos participantes;Pontos de remoção de feridos e equipamentos avariados
Arrais Amador;Geral;Qual equipamento de segurança é obrigatório em eventos náuticos?;Sinalizador de mão;Capacete resistente;Protetor auricular;Máscara de mergulho;Colete salva-vidas Classe V;Colete salva-vidas Classe V
Arrais Amador;Geral;A comunicação entre embarcações em eventos náuticos deve ser feita via:;Telefone celular;Bandeiras de sinalização;Transceptor VHF marítimo;Aplicativos de mensagens;Comunicação visual;Transceptor VHF marítimo
Arrais Amador;Geral;Em eventos costeiros, as motos aquáticas devem ter comprimento mínimo de:;2,5 metros;3,0 metros;3,2 metros;3,5 metros;4,0 metros;3,2 metros
Arrais Amador;Geral;Qual é o limite máximo de distância para eventos costeiros?;2 milhas náuticas;3 milhas náuticas;4 milhas náuticas;5 milhas náuticas;6 milhas náuticas;5 milhas náuticas
Arrais Amador;Geral;Em eventos, embarcações de apoio devem:;Realizar manobras radicais;Ser guarnecidas por pessoal habilitado;Estar fora da área de operação;Conduzir os competidores;Evitar transporte de feridos;Ser guarnecidas por pessoal habilitado
Arrais Amador;Geral;Durante eventos, a lotação de motos aquáticas para três lugares deve ser:;Totalmente preenchida;Reduzida para dois lugares;Aumentada para quatro lugares;Definida pelo condutor;Supervisionada pela Capitania;Reduzida para dois lugares
Arrais Amador;Geral;Manobras radicais em eventos náuticos são:;Permitidas em águas interiores;Permitidas apenas em competições;Totalmente proibidas;Permitidas com supervisão de árbitros;Permitidas para condutores experientes;Totalmente proibidas
Arrais Amador;Geral;A avaliação do plano logístico de eventos deve ser feita por:;Ministério do Esporte;Autoridades ambientais;Autoridade Marítima;Representantes locais;Organizações náuticas privadas;Autoridade Marítima
Arrais Amador;Geral;Eventos em navegação costeira exigem que os condutores sejam habilitados como:;Arrais-Amador/Motonauta;Capitão-Amador/Motonauta;Mestre-Amador/Motonauta;Marinheiro particular;Instrutor de esportes aquáticos;Mestre-Amador/Motonauta
Arrais Amador;Geral;Qual é o período de antecedência mínima para comunicar eventos costeiros à Capitania?;3 dias úteis;5 dias úteis;10 dias úteis;15 dias úteis;20 dias úteis;15 dias úteis
Arrais Amador;Geral;A organização de eventos deve fornecer aos participantes:;Apenas um cronograma geral;Orientações específicas sobre segurança;Certificados de participação;Equipamentos de pesca;Informações de turismo;Orientações específicas sobre segurança
Arrais Amador;Geral;Em eventos, embarcações de apoio devem:;Estar à frente e na retaguarda do grupo;Ser tripuladas por civis;Ser identificadas apenas por cores;Operar sem restrições de capacidade;Navegar em baixa velocidade;Estar à frente e na retaguarda do grupo
Arrais Amador;Geral;O uso de equipamentos de proteção como luvas, botas e óculos em eventos é:;Obrigatório;Recomendado;Opcional;Proibido;Limitado a instrutores;Recomendado
Arrais Amador;Geral;Quem é responsável pelo contato com órgãos municipais antes de eventos?;A Capitania dos Portos;Os condutores;A organização do evento;Os participantes;Os patrocinadores;A organização do evento
Arrais Amador;Geral;Para eventos em navegação costeira, as condições meteorológicas não podem exceder:;Força 2 na escala Beaufort;Força 3 na escala Beaufort;Força 4 na escala Beaufort;Força 5 na escala Beaufort;Força 6 na escala Beaufort;Força 4 na escala Beaufort
Arrais Amador;Geral;Qual é o órgão responsável por avaliar a permissão de eventos náuticos em áreas de jurisdição?;Ministério da Pesca;Polícia Federal;CP/CF (Capitanias dos Portos/Capitanias Fluviais);IBAMA;Prefeituras locais;CP/CF (Capitanias dos Portos/Capitanias Fluviais)
Arrais Amador;Geral;Qual é a regra em relação ao abastecimento de motos aquáticas durante eventos?;Permitido com autorização prévia;Permitido apenas com uso de bombonas homologadas;Proibido no mar e o uso de bombonas de combustível;Permitido em áreas delimitadas por boias;Proibido apenas em eventos costeiros;Proibido no mar e o uso de bombonas de combustível
Arrais Amador;Geral;O que é considerado um evento náutico para fins de aplicação da norma?;Qualquer evento com participação de três embarcações;Eventos organizados sem convocação formal;Reunião de no mínimo dez embarcações convocadas por meio digital ou físico;Regatas promovidas por clubes náuticos;Passeios organizados sem registro oficial;Reunião de no mínimo dez embarcações convocadas por meio digital ou físico
Arrais Amador;Geral;Qual é o requisito mínimo de ocupantes para uma MA realizar reboque comercial de dispositivos flutuantes?;Um ocupante;Três ocupantes (condutor, observador e eventual passageiro);Quatro ocupantes;Cinco ocupantes;Dois ocupantes;Três ocupantes (condutor, observador e eventual passageiro)
Arrais Amador;Geral;Qual é o número máximo de passageiros permitido por dispositivo no reboque de banana boat quando utilizando monoaquatica?;3 pessoas;4 pessoas;5 pessoas;6 pessoas;7 pessoas;5 pessoas
Arrais Amador;Geral;O uso de coletes salva-vidas em atividades com dispositivos flutuantes é:;Opcional;Recomendado;Exigido apenas para crianças;Limitado a operadores comerciais;Obrigatório;Obrigatório
Arrais Amador;Geral;Quem deve manobrar a moto aquática durante o uso de equipamentos como flyboard ou jetpack por iniciantes?;O próprio praticante;Uma pessoa habilitada como MTA;Um instrutor não habilitado;Qualquer pessoa com experiência prática;Um técnico de manutenção;Uma pessoa habilitada como MTA
Arrais Amador;Geral;Durante a prática de esportes com hidrojato, é obrigatório manter-se:;A pelo menos 100 metros de banhistas;A pelo menos 200 metros da linha de base das praias;Dentro de áreas delimitadas por boias;A menos de 50 metros de outras embarcações;Próximo a pontos de reabastecimento;A pelo menos 200 metros da linha de base das praias
Arrais Amador;Geral;Qual equipamento de proteção é recomendado para praticantes de esportes com hidrojato?;Capacete tipo wakeboard;Máscara de mergulho;Botas de cano alto;Colete salva-vidas Classe I;Óculos de proteção contra respingos;Capacete tipo wakeboard
Arrais Amador;Geral;Qual é a classificação mínima para uma embarcação realizar o reboque de ski aquático ou wakeboard?;Deve possuir potência adequada e ponto de fixação seguro para o cabo de reboque;Deve ter pelo menos dois tripulantes habilitados;Deve ter certificação internacional para esportes aquáticos;Deve ser registrada como embarcação de grande porte;Deve estar limitada a águas interiores;Deve possuir potência adequada e ponto de fixação seguro para o cabo de reboque
Arrais Amador;Geral;Qual é o requisito para inscrição de moto aquática no programa Gov.br?;Inscrição no cadastro de navegadores comerciais;Apresentação de um QR Code criptografado no TIE digital;Registro na Receita Federal como transporte aquático;Cadastro prévio na Capitania dos Portos;Pagamento de taxa única de registro eletrônico;Apresentação de um QR Code criptografado no TIE digital
Arrais Amador;Geral;O que deve ser apresentado por menores de 21 anos para comprovação de residência?;Declaração de residência de um tutor;Comprovante de endereço do pai ou responsável legal;Declaração assinada por um cartório;Documento de identificação com foto;Comprovante de endereço escolar;Comprovante de endereço do pai ou responsável legal
Arrais Amador;Geral;A emissão do TIE digital é realizada através de:;Sistema de cadastro presencial;Portal eletrônico da Receita Federal;Aplicativo governamental “Gov.br”;Capitania dos Portos local;Empresas de registro marítimo privado;Aplicativo governamental “Gov.br”
Arrais Amador;Geral;O que é obrigatório para motos aquáticas usadas em tow-in surf?;Registro especial junto ao IBAMA;Isenção das regras de reboque padrão;Liberação para operar sem espelhos retrovisores;Uso de colete salva-vidas para todos os ocupantes;Licença emitida pela autoridade municipal;Isenção das regras de reboque padrão
Arrais Amador;Geral;Qual é o requisito para comprovação de aquisição de motos aquáticas no exterior?;Fatura comercial e prova de remessa via bancária;Declaração do fabricante internacional;Documento de transporte marítimo;Comprovante de seguro internacional;Nota fiscal digitalizada;Fatura comercial e prova de remessa via bancária
Arrais Amador;Geral;É permitido reboque de dispositivos flutuantes no período entre:;18h e 6h;Do nascer do sol ap pôr do sol;20h e 5h;19h e 7h;21h e 6h;Do nascer do sol ap pôr do sol
Arrais Amador;Geral;Qual é o modelo de colete salva-vidas recomendado para esportes com hidrojato?;Classe V;Classe IV;Classe III;Classe II;Classe I;Classe V
Arrais Amador;Geral;Qual é a finalidade do QR Code no TIE digital?;Permitir a navegação sem inspeção;Facilitar o pagamento de taxas de registro;Registrar o histórico de manutenção da embarcação;Monitorar as viagens realizadas pelo proprietário;Garantir a segurança e validação do documento;Garantir a segurança e validação do documento
Arrais Amador;Geral;O que deve ser incluído no plano logístico de eventos náuticos?;Rotas terrestres de participantes;Informações sobre locais de reabastecimento;Contato com autoridades ambientais;Registro de todos os passageiros;Declaração de segurança assinada;Informações sobre locais de reabastecimento
Arrais Amador;Geral;O transporte de dispositivos como jet wave boat requer:;Registro conjunto com a moto aquática;Registro separado para o dispositivo e a MA;Declaração de uso eventual;Avaliação técnica da Capitania;Licença para transporte de passageiros;Registro separado para o dispositivo e a MA
Arrais Amador;Geral;Quem é responsável pela emissão do TIE digital?;Receita Federal;Capitania dos Portos;Delegacia Fluvial local;Autoridade Marítima Nacional;SERPRO, através do Gov.br;SERPRO, através do Gov.br
Arrais Amador;Geral;Qual é a punição para declarações de residência falsas?;Cancelamento do registro da MA;Multa administrativa;Penas legais conforme Lei no 7.115;Suspensão da habilitação de Motonauta;Registro em lista de inadimplentes;Penas legais conforme Lei no 7.115
Arrais Amador;Geral;Qual é a responsabilidade do observador em atividades de reboque?;Registrar informações sobre o percurso;Informar anormalidades ao condutor;Acompanhar as regras de segurança;Realizar inspeção técnica das embarcações;Operar o cabo de reboque;Informar anormalidades ao condutor
Arrais Amador;Geral;Onde podem ser realizadas inscrições físicas para o TIE?;Nas delegacias fluviais;Apenas em prefeituras locais;Em órgãos de registro internacional;Somente via aplicativo eletrônico;No site da Receita Federal;Nas delegacias fluviais
Arrais Amador;Geral;Qual equipamento é obrigatório para segurança ao reboque de dispositivos?;Espelho retrovisor com campo de visão angular adequado;Sinalizador noturno;Rastreadores por satélite;Cabo de aço reforçado;Colete salva-vidas padrão;Espelho retrovisor com campo de visão angular adequado
Arrais Amador;Geral;Qual é o período de validade do TIE digital emitido para motos aquáticas?;2 anos;3 anos;4 anos;5 anos;6 anos;5 anos
Arrais Amador;Geral;Caso o TIE digital não seja emitido dentro do prazo de validade do protocolo, o condutor poderá trafegar com:;Apenas o protocolo de requerimento;O Boletim de Dados de Moto Aquática - BDMOTO e o protocolo, por até 60 dias;Uma autorização temporária da CP/DL/AG;A licença provisória emitida automaticamente;Nenhum documento;O Boletim de Dados de Moto Aquática - BDMOTO e o protocolo, por até 60 dias
Arrais Amador;Geral;As motos aquáticas estão isentas de vistoria inicial, exceto quando:;Solicitado pelo proprietário;Houver alteração de características técnicas;Determinado pelo Agente da Autoridade Marítima (AAM);Realizado por novos proprietários;Operarem fora da navegação interior;Determinado pelo Agente da Autoridade Marítima (AAM)
Arrais Amador;Geral;Em caso de renovação do TIE, o proprietário deve comparecer à CP/DL/AG com quanto tempo de antecedência?;15 dias;20 dias;30 dias;45 dias;60 dias;30 dias
Arrais Amador;Geral;Quais documentos são exigidos na renovação do TIE?;Apenas o TIE original e o Boletim de Dados de Moto Aquática - BDMOTO;Fotografias da MA, TIE original e comprovante de pagamento da GRU;Seguro obrigatório e contrato de locação;Declaração de residência e seguro de terceiros;Somente o documento de identificação do proprietário;Fotografias da MA, TIE original e comprovante de pagamento da GRU
Arrais Amador;Geral;O que ocorre com motos aquáticas que ainda possuem TIE sem data de validade?;Devem ser recadastradas para emissão de TIE digital;Continuam válidas indefinidamente;Necessitam de uma vistoria imediata;Devem ser transferidas para nova jurisdição;Devem pagar uma taxa extra para renovação;Devem ser recadastradas para emissão de TIE digital
Arrais Amador;Geral;O que deve ser feito primeiro em caso de uma emergência?;Fazer uma ligação para um amigo;Ignorar a situação;Tentar ajudar a vítima;Avaliar a situação;Chamar a ambulância;Avaliar a situação
Arrais Amador;Geral;Qual é a posição correta para uma pessoa inconsciente, mas respirando?;Deitada de lado;Sentada;Em pé;Deitada de bruços;Deitada de costas;Deitada de lado
Arrais Amador;Geral;O que fazer em caso de hemorragia?;Colocar a pessoa deitada;Aplicar pressão sobre o ferimento;Dar água para a pessoa;Esperar a ajuda chegar;Remover o objeto que causou a hemorragia;Aplicar pressão sobre o ferimento
Arrais Amador;Geral;Qual é a manobra correta para desobstruir as vias aéreas de uma pessoa consciente que está engasgada?;Compressões abdominais (Manobra de Heimlich);Colocar água na boca;Fazer respiração boca a boca;Esperar que a pessoa se recupere sozinha;Tapas nas costas;Compressões abdominais (Manobra de Heimlich)
Arrais Amador;Geral;Em caso de queimaduras, qual é a primeira ação recomendada?;Colocar gelo diretamente na queimadura;Aplicar pomadas ou cremes;Lavar a área queimada com água corrente;Cobrir com um pano seco;Estourar as bolhas que se formarem;Lavar a área queimada com água corrente
Arrais Amador;Geral;O que deve ser feito se uma pessoa estiver em estado de choque?;Colocá-la em pé;Manter a pessoa aquecida e deitada;Dar água para a pessoa;Fazer massagem cardíaca;Colocar a pessoa em um lugar frio;Manter a pessoa aquecida e deitada
Arrais Amador;Geral;Qual é a forma correta de realizar a respiração boca a boca?;Cobrir o nariz da vítima;Fazer pressão no peito;Inspirar profundamente e soprar na boca da vítima;Fazer respiração rápida;Não é necessário fazer nada;Inspirar profundamente e soprar na boca da vítima
Arrais Amador;Geral;O que fazer em caso de fratura exposta?;Tentar realinhar o osso;Aplicar gelo diretamente na fratura;Deixar a pessoa em pé;Cobrir a ferida com um pano limpo e não mover a área afetada;Não dar analgésicos;Cobrir a ferida com um pano limpo e não mover a área afetada
Arrais Amador;Geral;Qual é a principal causa de engasgamento em crianças?;Alimentos sólidos;Bebidas;Brinquedos;Objetos pequenos;Todos os anteriores;Todos os anteriores
Arrais Amador;Geral;O que deve ser feito em caso de picada de inseto?;Aplicar calor na área;Remover o ferrão, se presente, e aplicar gelo;Fazer um curativo apertado;Ignorar a picada;Não aplicar álcool diretamente;Remover o ferrão, se presente, e aplicar gelo
Arrais Amador;Geral;O que é a manobra de Heimlich?;Uma técnica de massagem;Uma técnica para desobstruir as vias aéreas;Um tipo de curativo;Um método de respiração;Uma forma de transporte de emergência;Uma técnica para desobstruir as vias aéreas
Arrais Amador;Geral;O que deve ser feito em caso de intoxicação?;Fazer a pessoa vomitar;Dar água para a pessoa;Chamar o centro de intoxicações imediatamente;Ignorar a situação;Administrar carvão ativado sem orientação;Chamar o centro de intoxicações imediatamente
Arrais Amador;Geral;Qual é a maneira correta de tratar uma queimadura de sol?;Aplicar azeite diretamente na queimadura;"Expor a área ao sol para &quot;curar&quot;";Cobrir com um pano quente;Fazer um curativo apertado;hidratar a aréa afetada;hidratar a aréa afetada
Arrais Amador;Geral;Qual é a principal função do desfibrilador externo automático (DEA)?;Monitorar a pressão arterial;Administrar medicamentos;Fazer massagem cardíaca;Restaurar o ritmo cardíaco normal;Aumentar a frequência respiratória;Restaurar o ritmo cardíaco normal
Arrais Amador;Geral;O que deve ser feito em caso de um corte profundo?;Lavar com água e sabão e aplicar um curativo;Aplicar pressão e procurar ajuda médica;Ignorar e esperar que cicatrize;Colocar gelo diretamente no corte;Fazer um curativo apertado;Aplicar pressão e procurar ajuda médica
Arrais Amador;Geral;O que é um acidente vascular cerebral (AVC)?;Uma parada cardíaca;Uma lesão na coluna;Uma interrupção do fluxo sanguíneo para o cérebro;Uma convulsão;Uma queimadura grave;Uma interrupção do fluxo sanguíneo para o cérebro
Arrais Amador;Geral;Qual é o sinal de alerta para um AVC?;Dor de cabeça intensa;Dificuldade para falar ou entender;Tontura;Náusea;Todos os anteriores;Todos os anteriores
Arrais Amador;Geral;O que fazer se uma pessoa estiver sufocando e não puder falar?;Dar tapinhas nas costas;Realizar a manobra de Heimlich;Chamar ajuda e esperar;Colocar a pessoa deitada;Oferecer água;Realizar a manobra de Heimlich
Arrais Amador;Geral;O que é importante fazer antes de prestar primeiros socorros?;Avaliar a segurança do local;Chamar a ambulância;Tentar ajudar a vítima imediatamente;Ignorar a situação;Fazer uma ligação para um amigo;Avaliar a segurança do local
Arrais Amador;Geral;O que deve ser feito em caso de uma lesão esportiva?;Continuar jogando;Aplicar gelo e descansar;Ignorar a dor;Fazer massagem na área afetada;Colocar a área lesionada em água quente;Aplicar gelo e descansar
Arrais Amador;Geral;O que é a síndrome do bebê sacudido?;Uma condição causada por quedas;Uma lesão cerebral causada por movimentos bruscos;Uma doença respiratória;Uma infecção;Uma reação alérgica;Uma lesão cerebral causada por movimentos bruscos
Arrais Amador;Geral;O que deve ser feito em caso de uma picada de cobra?;Aplicar gelo na área;Fazer um torniquete;Manter a pessoa calma e imobilizar a área afetada;Dar água para a pessoa;Tentar sugar o veneno;Manter a pessoa calma e imobilizar a área afetada
Arrais Amador;Geral;O que fazer se uma pessoa estiver com uma queimadura química?;Lavar a área afetada com água corrente;Aplicar gelo na queimadura;Cobrir com um pano seco;Fazer um curativo apertado;Ignorar a situação;Lavar a área afetada com água corrente
Arrais Amador;Geral;Qual é a maneira correta de tratar uma lesão por esmagamento?;Aplicar gelo diretamente na área;Manter a área afetada elevada e procurar ajuda médica;Tentar realinhar os ossos;Fazer massagem na área;Ignorar a lesã;Manter a área afetada elevada e procurar ajuda médica
Arrais Amador;Geral;O que deve ser feito em caso de um ataque cardíaco?;Fazer exercícios físicos;Ignorar os sintomas;Chamar a emergência e manter a pessoa calma;Dar água para a pessoa;Aplicar gelo no peito;Chamar a emergência e manter a pessoa calma
Arrais Amador;Geral;O que é a respiração de emergência?;Uma técnica para ajudar a pessoa a respirar;Um método de massagem cardíaca;Uma forma de desobstruir as vias aéreas;Uma técnica de primeiros socorros para ferimentos;Um tipo de medicamento;Uma técnica para ajudar a pessoa a respirar
Arrais Amador;Geral;O que deve ser feito se uma pessoa estiver com uma lesão na coluna?;Movimentá-la para verificar a lesão;Manter a pessoa imóvel e chamar ajuda;Colocá-la em pé;Fazer massagem na área;Ignorar a lesão;Manter a pessoa imóvel e chamar ajuda
Arrais Amador;Geral;O que é importante fazer após um acidente?;Mover as vítimas para um lugar seguro;Chamar a polícia e esperar;Ignorar o acidente;Fazer um vídeo do acidente e postar no youtube;Avaliar a situação e prestar os primeiros socorros;Avaliar a situação e prestar os primeiros socorros
Arrais Amador;Geral;O que deve ser feito em caso de uma crise de asma?;Ignorar a situação;Fazer respiração boca a boca;Colocar a pessoa em pé;Acalmar a pessoa e ajudá-la a usar o inalador;Dar água para a pessoa;Acalmar a pessoa e ajudá-la a usar o inalador
Arrais Amador;Geral;O que fazer se uma pessoa estiver tendo uma convulsão?;Colocar algo na boca da pessoa;Tentar segurar a pessoa;Dar água para a pessoa;Proteger a cabeça e afastar objetos perigosos;Chamar a ambulância apenas se a convulsão durar mais de 5 minutos;Proteger a cabeça e afastar objetos perigosos
Arrais Amador;Geral;O que é um choque anafilático?;Uma reação alérgica grave;Uma infecção;Uma lesão;Uma doença respiratória;Uma condição cardíaca;Uma reação alérgica grave
Arrais Amador;Geral;O que deve ser feito se uma pessoa estiver com um objeto perfurante na pele?;Remover o objeto imediatamente;Deixar o objeto no lugar e procurar ajuda médica;Aplicar pressão na área;Fazer um curativo apertado;Ignorar a situação;Deixar o objeto no lugar e procurar ajuda médica
Arrais Amador;Geral;O que é importante fazer ao tratar uma ferida?;Aplicar álcool diretamente;Cobrir com um pano sujo;Ignorar a ferida;Lavar com Sal;Lavar a ferida com água e sabão;Lavar a ferida com água e sabão
Arrais Amador;Geral;O que deve ser feito em caso de uma crise de epilepsia?;Colocar algo na boca da pessoa;Tentar segurar a pessoa;Dar água para a pessoa;Chamar a emergência apenas se a crise durar mais de 5 minutos;Proteger a cabeça e afastar objetos perigosos;Proteger a cabeça e afastar objetos perigosos
Arrais Amador;Geral;O que é importante fazer após prestar primeiros socorros?;Tentar diagnosticar a condição da pessoa e chamar a emergência;Fazer um vídeo do atendimento;Deixar a pessoa sozinha;Não chamar a emergência se necessário;Ignorar a situação;Tentar diagnosticar a condição da pessoa e chamar a emergência
Arrais Amador;Geral;O que deve ser feito em caso de uma lesão por queimadura elétrica?;Colocar água na área queimada;Desligar a fonte de eletricidade antes de ajudar;Aplicar gelo diretamente na queimadura;Fazer um curativo apertado;Ignorar a situação;Desligar a fonte de eletricidade antes de ajudar
Arrais Amador;Geral;O que é a técnica RICE em primeiros socorros?;Reanimação, Injeção, Compressão, Elevação;Remoção, Injeção, Compressão, Elevação;Respiração, Inalação, Compressão, Elevação;Repouso, Gelo, Compressão, Elevação;Reposição, Injeção, Compressão, Elevação;Repouso, Gelo, Compressão, Elevação
Arrais Amador;Geral;O que deve ser feito se uma pessoa estiver com um corte na mão?;Ignorar a ferida;Aplicar álcool diretamente na ferida;Lavar a ferida com água e sabão e aplicar um curativo;azer um curativo levemente apertado;Colocar a mão em água quente;Lavar a ferida com água e sabão e aplicar um curativo
Arrais Amador;Geral;O que é importante lembrar ao usar um desfibrilador?;Ignorar as instruções do aparelho;Aplicar o desfibrilador em qualquer situação;Usar o desfibrilador apenas em crianças;Tocar na vítima para verificar a pulsação;Não tocar na vítima enquanto o desfibrilador estiver analisando o ritmo cardíaco;Não tocar na vítima enquanto o desfibrilador estiver analisando o ritmo cardíaco
Arrais Amador;Geral;O que deve ser feito se uma pessoa estiver com uma reação alérgica grave?;Dar água para a pessoa;Administrar um antialérgico se disponível e chamar a emergência;Ignorar a situação;Colocar a pessoa em pé;Fazer um curativo;Administrar um antialérgico se disponível e chamar a emergência
Arrais Amador;Geral;Qual é a importância dos primeiros socorros a bordo?;Eles são desnecessários em situações de emergência.;odem salvar vidas em situações onde não há recursos médicos disponíveis.;Apenas médicos devem prestar primeiros socorros;Eles são apenas para situações de queimaduras.;Não têm impacto significativo na recuperação;odem salvar vidas em situações onde não há recursos médicos disponíveis.
Arrais Amador;Geral;O que deve ser feito em uma emergência?;Agir sem pensar.;Ignorar a situação;Manter a calma e avaliar a situação;Chamar um amigo;Fazer um vídeo do acidente;Manter a calma e avaliar a situação
Arrais Amador;Geral;O que deve ser feito se a vítima estiver com uma queimadura de 3º grau?;Aplicar gelo na queimadura;Cobrir a queimadura com um pano seco;Procurar ajuda médica imediatamente;Fazer um curativo apertado;Ignorar a situação;Procurar ajuda médica imediatamente
Arrais Amador;Geral;Qual é a principal causa de desmaio?;Hipoglicemia;Excesso de água;Exercício físico moderado;Exposição ao frio;Estresse;Hipoglicemia
